BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
15-110398,Université d'Aix-Marseille,None,Roxane NOURINE - Responsable du pôle des marchés publics du campus de Marseille centre,Pôle des marchés du campus de Marseille centre,,"58, Boulevard Charles LivonSite du Pharo",13008,Marseille,,(+33) 4-13-55-04-64,,,roxane.nourine@univ-amu.fr,,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
15-110399,SDEE de la Lozère,None, Monsieur le Président du SDEE,,,SDEE de La Lozère 12 Boulevard Henri Bourrillon,48000,MENDE,,(+33) 4-66-65-35-01,,(+33) 4-66-49-11-19,a.mallet@sdee48.fr,http://sdee48.e-marchespublics.com/,,,,,,False,False,,False,False
15-125152,Sempariseine,None, Pôle juridique et marchés,,,2 rue Jean Lantier,75001,Paris,,(+33) 1-44-88-84-37,,(+33) 1-42-33-27-84,appel.offres@sempariseine.fr,http://www.paris.fr,https://marches.maximilien.fr,,,,,False,False,,False,False
15-110403,CHU Brest,None,,,,2 avenue Foch,29609,Brest,,(+33) 2-98-34-76-00,,,,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
15-110404,Conseil Région Nord Pas de Calais,None,M. Le Président,,,Siège de Région 151 avenue du Président Hoover,59555,Lille Cedex,,,,,,,,,,,,False,False,,False,False
15-110405,Château de Fontainebleau,None,Lebrun christelle,,,Place de Gaulle,77300,Fontainebleau,,01-60-71-50-80,,01-60-71-21-60,christelle.lebrun@chateaudefontainebleau.fr,,https://www.marches-publics.gouv.fr,,,,,False,False,,False,False
15-110406,DGA/SCA,None,M. le Chef du Service Centralisé des Achats,,,"Ministère de la défense - Direction Générale de l'armement- Direction des opérations - Service Centralisé des Achats-MINDEF/DGA/DO/SCA 60, boulevard du Général Martial Valin CS 21623",75509,Paris cedex 15,,,,,,http://www.ixarm.com,http://www.marches-publics.gouv.fr,http://www.ixarm.com,http://www.marches-publics.gouv.fr,,,False,False,,False,False
15-110407,Ets public Musées Orsay et Orangerie,None, Secteur des affaires juridiques,,,62 rue de lille,75343,Paris cedex 7,,(+33) 1-53-85-16-36,,(+33) 1-53-85-16-01,juridique@musee-orsay.fr,http://musee-orsay.e-marchespublics.com,http://musee-orsay.e-marchespublics.com,,,,,False,False,,False,False
15-110409,CCAS de Tours,None,Mme La Vice-Présidente Nicolay-Cabanne,Direction de la logistique,,C.S. 81237,37012,Tours cedex 1,,(+33) -02-18-96-11-63,,(+33) -02-18-96-11-60,marches.logistique@ccas-tours.fr,,,,,,,False,False,,False,False
15-110410,CH LE MANS,None,,,,"194, Avenue Rubillard",72037,Le mans cedex 9,,(+33) -02-43-43-43-10,,(+33) -02-43-43-44-11,scteco@ch-lemans.fr,,http://www.achats-hopitaux.com,,,,,False,False,,False,False
15-110411,SMIEOM DE BISCHWILLER ET ENVIRONS,None, M. Le président,,,8 rue des tilleuls,67410,Drusenheim,,(+33) 3-88-53-47-42,,(+33) 3-88-53-37-72,sieom@wanadoo.fr,,,,,,,False,False,,False,False
15-130728,Ville de Noyon,None,Monsieur le Maire,Service marchés publics,,Hôtel de Ville - Place Bertrand Labarre,60400,Noyon,,(+33) 3-44-93-36-36,,(+33) 3-44-93-36-39,accueil@noyon.fr,http://www.ville-noyon.fr,http://www.marches-securises.fr,http://www.marches-securises.fr,http://www.marches-securises.fr,,,False,False,,False,False
15-110413,DREAL PACA,None,DREAL-PACA - PSI/UCP - CS 70248 - 16 rue Antoine Zattara- 13331 Marseille cedex 03 - Bureau 403 4ème étage de 9h30 à 11h30 et de 14h à 16h.,PSI - Unité Commande Publique,,16 rue Antoine Zattara - CS 70248,13331,Marseille,,(+33) 4-86-94-67-22,,(+33) 4-86-94-67-29,marchespublics-dreal-paca@developpement-durable.gouv.fr,,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
15-110414,S.I.P.E.P.RE.L,None,M Rousseau Jean,,,Syndicat Intercommunal de Production d'Eau Potable de la REgion de la Loupe18 rue de la gare,28240,La Loupe,,02-37-81-29-59,,02-37-81-04-91,sipeprel@orange.fr,,,,,,,False,False,,False,False
15-110415,C.A.F. des Bouches-du-Rhône,None,"M. SOUREILLAT Jean-Pierre, Directeur Général",,,215 Chemin de Gibbes,13348,Marseille cedex 20,,04-91-05-53-41,,,arnaud.munier@cafmarseille.cnafmail.fr,,,,,,,False,False,,False,False
15-110416,Cté d'Agglomération de Metz,None,"M. Nicloux Yves, Resp commande",,,Harmony park 11 boulevard solidarité BP 55025,57071,Metz,,03-87-20-10-27,,03-87-20-10-29,marchespublics@metzmetropole.fr,http://www.metzmetropole.fr,,,,,,False,False,,False,False
15-110417,SDIS 95 Val d'Oise,None,M. Arnaud BAZIN,Pôle Commande Publique,,33 rue des Moulines - Neuville-sur-Oise,95027,Cergy pontoise cedex,,(+33) -01-30-75-79-20,,(+33) -01-30-75-78-65,marchespublics@sdis95.fr,https://sdis95.achatpublic.com,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
15-110418,Cté de Communes Coeur de France,None,"M. VINCON Thierry, Président",,,"145, rue de la Cannetille",18200,SAINT AMAND MONTROND,,02-48-82-11-46,,02-48-82-11-47,contact@cc-coeurdefrance.fr,,http://www.klekoon.com,,,,,False,False,,False,False
15-110419,Centre Hospitalier de la Côte Fleurie,20001798600015,M. VAIL Jean-Jacques,,,BP 30009,14601,HONFLEUR,,(+33) 2-31-89-89-89,,(+33) 2-31-89-81-74,direction@ch-cotefleurie.fr,,http://www.centraledesmarches.com/,,,,,False,False,,False,False
15-110420,FranceAgriMer,None,SAF - unité achats marchés,,,"12, rue Henri ROL-TANGUY",93555,Montreuil cedex,,01-73-30-20-00,,01-73-30-30-34,mpublics@franceagrimer.fr,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=263231&orgAcronyme=b4n,,,,,False,False,,False,False
15-110421,Ministère culture et communication,None,M. TOTH - FESTU Françoise,,,"182, rue Saint Honoré",75033,Paris cedex 01,,(+33) 1-40-15-82-97,,,mission-achats.sg@culture.gouv.fr,http://www.culture.gouv.fr/,http://marches-publics.gouv.fr,http://marches-publics.gouv.fr,,,,False,False,,False,False
15-110423,Ville de Dunkerque,None,M. Le Maire,,,Place Charles Valentin BP 6.537 Cedex 1,59386,Dunkerque,,(+33) 3-28-26-28-72,,(+33) 3-28-26-24-20,marches.publics@ville-dunkerque.fr,https://marches-securises.fr/perso/flandre-dunkerque/,,,,,,False,False,,False,False
15-110424,Préfecture de Police de Paris,None,M. Le Préfet de Police,,,9 boulevard du Palais,75195,Paris Cedex 04,,01-53-73-51-64,,01-53-73-67-41,pp-sai-baj@interieur.gouv.fr,http://www.prefecture-police-paris.interieur.gouv.fr,http://www.maximilien.fr,,,,,False,False,,False,False
15-110426,Ministère de la Justice - DAP,None,Sylvaine Guinault,,,13 place Vendôme,75042,Paris cedex 01,,,,,,http://www.justice.gouv.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,,False,False,,False,False
15-110427,Campus Condorcet,13001637100026,M. Jean-Claude Waquet,,,20 avenue George Sand,93210,Saint-denis la plaine,,(+33) 1-55-93-93-34,,,campuscondorcet@campus-condorcet.fr,http://campus-condorcet.fr/,https://www.achatpublic.com/sdm/ent/gen/index.jsp,https://www.achatpublic.com/sdm/ent/gen/index.jsp,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2015_EXwiyvDJqH,,,False,False,,False,False
15-110428,USESA,None, M.chatelain,,,Rû de chailly,02650,Fossoy,,03-23-71-02-80,,,eric.marginier@usesa.fr,http://usesa.e-marchespublics.com,http://usesa.e-marchespublics.com,,,,,False,False,,False,False
15-110429,SIREDOM,None,"M. Xavier Dugoin, Président",marchespublics@siredom.com,,"63, rue du Bois Chaland - ZI - CE 2946 LISSES",91029,Evry Cedex,,(+33) 1-69-74-23-50,,(+33) 1-60-86-43-69,,http://www.siredom.com,http://www.siredom.com/marchespublics,,,,,False,False,,False,False
15-110430,SEMCODA,None,Monsieur le Président Directeur Général,,,50 rue du Pavillon - cs 91007A l'att de Mme VIRION Bur 1.009,01009,Bourg en Bresse,,04-74-22-83-43,,,"joelle.virion@semcoda.com,marlene.richard@semcoda.com",,,,,,,False,False,,False,False
15-110431,Ville de Nice,None,M. le maire,,,"Mairie - 5, rue de l'hôtel de Ville",06364,Nice cedex 4,,(+33) 4-97-13-44-70,,(+33) 4-97-13-29-19,dao@nicecotedazur.org,,,,,,,False,False,,False,False
15-110432,CPAM d'Annecy,None,"Claire GUILLOIS, Responsable des Services Généraux",,,2 Rue Robert Schuman,74984,Annecy,,04-50-88-60-35,,04-50-88-61-11,sgg@cpam-annecy.cnamts.fr,,http://cnamts.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2015_FvSxvKAoYE,,,,,False,False,,False,False
15-110433,Météo France,None,"Mme CICCIONE Monique, Directrice du Centre de Toulouse",,,42 avenue Gaspard Coriolis BP 45712,31057,Toulouse cedex 1,,,,,dct_marches@meteo.fr,,https://meteofrance.achatpublic.com,,,,,False,False,,False,False
15-110434,Commune d'Aubagne,None, Mr le Maire,,,Hôtel de Ville BP 41465,13785,Aubagne Cedex,,(+33) 4-42-18-19-19,,(+33) 4-42-18-18-90,jocelyne.casassa@aubagne.fr,,http://vaub.marcoweb.fr,,,,,False,False,,False,False
15-110435,Côtes d'Armor Habitat,None, Service marché,,,"6, rue des lys",22440,Ploufragan,,(+33) 2-96-94-12-41,,,e.druillennec@cotesdarmorhabitat.com,http://cotesdarmorhabitat.bretagne-marchespublics.com,http://cotesdarmorhabitat.bretagne-marchespublics.com,,,,,False,False,,False,False
15-132219,Ville de Quimper,None,Monsieur le maire de Quimper,,,"hôtel de ville et d'agglomération CS 26004, coordonnatrice du groupement constitué de la ville de Quimper et de Quimper Communauté",29107,Quimper cedex,,,,,,http://www.quimper.bzh,http://www.megalisbretagne.org,,,,,False,False,,False,False
15-110438,Immob. insertion défense emploi 2ide,None,"Mme Desportes Hélène, Directrice Générale",,,16 rue Berthollet,94110,Arcueil (94110),,01-58-50-75-01,,,helene.desportes-e@caissedesdepots.fr,,,,,,,False,False,,False,False
15-110439,Conseil Général de la Seine-Maritime,None,DEMBOWIAK Béatrice,,,Direction des collèges et de l'Educationquai jean moulin,76101,rouen,,,,02-35-15-60-25,,http://www.seinemartime.net,http://wwww.mpe76.fr,,,,,False,False,,False,False
15-110440,CCAS de Carvin,None,Guillard Grégoire,,,"1, rue Thibaut",62220,Carvin,,03-21-74-76-07,,03-21-74-91-28,gregoire.guillard@carvin.fr,http://www.carvin.fr/default.asp?id=1004,,,,,,False,False,,False,False
15-110441,Centre Hospitalier de Douai,None,Cellule des Marchés Publics - Service des Affaires Juridiques,,,Route de cambrai - B.P. 10740,59507,Douai cedex,,03-27-94-71-02,,03-27-94-70-14,marchespublics@ch-douai.fr,https://marchespublics.nord-sante.org,https://marchespublics.nord-sante.org,,,,,False,False,,False,False
15-110442,C.C. Coteaux du Vexin,None,Mme Dominique Bouré,,,"5, avenue du Président Wilson",78520,Limay,,(+33)1-34-97-27-37,,,j.eclancher@cc-coteauxduvexin.fr,http://www.cc-coteauxduvexin.fr,http://www.marches-securises.fr,,,,,False,False,,False,False
15-110443,Ville de Châlons-en-Champagne,None, Le Député-Maire,,,Hôtel de Ville Place Foch,51000,Chalons-En-Champagne,,,,,,,,,,,,False,False,,False,False
15-110444,Ecole des Mines de Douai,None,M. Jacques BOONAERT,,,941 rue Charles Bourseul - CS 10838,59508,Douai cedex,,03-27-71-21-01,,03-27-71-29-80,jacques.boonaert@mines-douai.fr,http://www.mines-douai.fr,,,,,,False,False,,False,False
15-110445,ONISEP,None,Mme Andrès Corinne,,,"75 rue Saint Roch, CS 87703",31077,Toulouse cedex 4,,05-36-25-81-77,,01-64-80-38-13,corinne.andres@ac-toulouse.fr,https://www.onisep.fr,,,,,,False,False,,False,False
15-110446,Bibliothèque nationale de France,None, Président,,,Quai François Mauriac,75706,Paris Cedex 13,,(+33) 1-53-79-42-37,,(+33) 1-53-79-41-82,dmp@bnf.fr,https://marchespublics.bnf.fr,https://marchespublics.bnf.fr,,,,,False,False,,False,False
15-110447,Université d'Aix-Marseille,None,Muriel Ginhoux responsable marchés publics Campus de Marseille centre,Pôle des Marchés Publics campus luminy,,163 av de luminycase 901,13288,Marseille cedex 9,,,,,muriel.ginhoux@univ-amu.fr,http://dcp.univ-amu.fr,,,,,,False,False,,False,False
15-110448,SDEE de la Lozère,None, Monsieur le Président du SDEE,,,SDEE de La Lozère 12 Boulevard Henri Bourrillon,48000,MENDE,,(+33) 4-66-65-35-01,,(+33) 4-66-49-11-19,administration@sdee48.fr,http://sdee48.e-marchespublics.com/,,,,,,False,False,,False,False
15-110449,SGAP Ouest,None,"Mme VERDIER Laurence, SGAMI OUEST",,,"28, rue de la Pilate CS 40725",35207,Rennes cedex 2,,02-99-67-81-13,,,laurence.verdier@interieur.gouv.fr,https://www.marches-publics.gouv.fr,,,,,,False,False,,False,False
15-110450,Ville d'Antony,None,"Mme GABARD Véronique, Mairie d'ANTONY",,,Place de l'Hôtel de Ville,92160,Antony,,01-40-96-73-52,,01-40-96-07-24,,,,,,,,False,False,,False,False
15-110454,Commune de La Tour de Salvagny,None, Le maire,,,Allée de la mairie - cs 80003,69890,La tour de salvagny,,04-78-48-06-35,,04-78-48-00-09,marie-agnes.delamarre@salvagny.org,http://salvagny.e-marchespublics.com,http://salvagny.e-marchespublics.com,,,,,False,False,,False,False
15-110455,Ville d'Avignon,None,Madame le Maire,,,Annexe de l'Hôtel de VilleService de la Commande Publique1 rue Racine - 4ème étage - bureau 407-408,84045,Avignon,,04-90-80-83-14,,04-90-80-69-96,commande.publique@mairie-avignon.com,http://www.avignon.fr,,,,,,False,False,,False,False
15-110456,Centre Hospitalier Métropole Savoie,None, direction des Achats et de la Logistique - cellule des marchés,,,"400, Faubourg Maché-bp 31125",73011,chambéry cedex,,04-79-96-58-39,,04-79-96-50-04,cellule.marche@ch-metropole-savoie.fr,http://www.ch-metropole-savoie.fr/,http://www.achat-hopital.com,,,,,False,False,,False,False
15-110457,Ville de Conflans Sainte Honorine,None, Monsieur le Maire Laurent BROSSE,,,"63, rue Maurice Berteaux",78700,Conflans-Sainte-Honorine,,01-34-90-89-89,,01-34-90-89-19,vice-president-cao@mairie-conflans.fr,http://www.conflans-sainte-honorine.fr/la-mairie/les-marches-publics/index.html,https://www.achats-franciliens.fr,,,,,False,False,,False,False
15-110458,Université Européenne de Bretagne,None,service gestion,,,5 boulevard Laënnec,35000,Rennes,,02-23-23-79-64,,02-23-44-84-55,marchespublics@ueb.eu,http://ueb.eu,,,,,,False,False,,False,False
15-110459,Université Panthéon Assas Paris 2,19751718800011,Mme TOMIC Minaver,,,12 place du Pantheon 12 place du Panthéon,75231,Paris cedex 05,,(+33) 1-44-41-55-17,,(+33) 1-44-41-56-82,minaver.tomic@u-paris2.fr,http://marchespublics.u-paris2.fr,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=236549&orgAcronyme=f2h,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=236549&orgAcronyme=f2h,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=236549&orgAcronyme=f2h,,,False,False,,False,False
15-110460,ville de Deuil la Barre,None,"Mme SCOLAN, Maire",,,"36, rue C. de Gaulle",95170,DEUIL LA BARRE,,01-34-28-65-00,,01-34-28-65-90,commandepublique@mairie-deuillabarre.fr,http://www.mairie-deuillabarre.fr,http://www.klekoon.com,,,,,False,False,,False,False
15-110461,Conseil régional des Pays de la Loire,234400034 00026,M. Le président,Service des Marchés Publics,,1 rue de la Loire,44966,Nantes cedex 9,,,,,,http://www.paysdelaloire.fr,https://marchespublics.paysdelaloire.fr,,,,,False,False,,False,False
15-110462,ESID de Metz,None,"M. THIERY Laurent, Etablissement du service d'infrastructure de la défense de METZ",,,Rue du Maréchal Lyautey - cs 30 001,57044,Metz cedex 01,,03-55-74-80-48,,03-55-74-80-29,usid-metz.marches@defense.gouv.fr,,,,,,,False,False,,False,False
15-110463,Conseil départemental du Pas-de-Calais,None, M. le Président du Conseil départemental,,,Département du Pas-de-Calais Hôtel du Département Rue Ferdinand Buisson,62018,ARRAS CEDEX 9,,03-21-21-67-30,,03-21-21-62-38,,https://marches.local-trust.com/cg-62,,,,,,False,False,,False,False
15-110464,CNAMTS,None,Jean-Marie LAVENANT,,,7 rue du Président Edouard HerriotBP 73403,44034,NANTES cedex 1,,02-51-88-51-72,,02-51-88-51-83,logistique@ersm-paysloire.cnamts.fr,,,,,,,False,False,,False,False
15-110467,DRSID Lyon,None,Mme COLOBERT Nathalie,,,BP 97423,69347,Lyon cedex 07,,(+33) -04-37-27-32-35,,(+33) -04-37-27-35-15,nathalie.colobert@intradef.gouv.fr,,,,,,,False,False,,False,False
15-110468,Communauté d'agglomération Caen la mer,None,M. Le Président,,,16 rue Rosa parks CS 15094,14050,Caen Cedex 4,,(+33) 2-31-39-40-00,,(+33) 2-31-79-61-44,,http://www.caenlamer.fr,http://www.achatpublic.com,,http://www.achatpublic.com,,,False,False,,False,False
15-110470,Centre Hospitalier Gérard Marchant,None,"Mme Pasquet , Directrice",,,134 route d'espagne - B.P. 65714,31057,Toulouse,,,,,cellulemarches@ch-marchant.fr,http://www.ch-marchant.fr,http://www.achat-hopital.com,http://www.achat-hopital.com,http://www.achat-hopital.com,,,False,False,,False,False
15-110471,Communauté de Communes La Domitienne,None, Président,,,1 avenue de l'europe,34370,Maureilhan,,04-67-90-40-90,,04-67-90-40-99,b.morazzani@ladomitienne.com,http://www.ladomitienne.com,http://ladomitienne.e-marchespublics.com,,,,,False,False,,False,False
15-110472,AP-HM,26130008100484,Mme La Directrice Générale de l'AP-HM,,,80 rue Brochier,13354,Marseille cedex 05,,,,(+33) 4-91-38-19-22,,http://www.ap-hm.fr,https://www.achats-hopitaux.com,https://www.achats-hopitaux.com,https://www.achats-hopitaux.com,,,False,False,,False,False
15-110473,Informatique CDC,77566543300014,,,,Icdc,94110,Arcueil cedex,,,,,,,,,,,,False,False,,False,False
15-110474,Ville de Mérignac,None,la Direction des Finances - Service de la Commande Publique,,,60 avenue du Maréchal de Lattre de Tassigny,33705,Mérignac Cedex,,05-56-18-88-01,,05-56-55-66-63,marches.publics@merignac.com,,http://www.merignac.com,,,,,False,False,,False,False
15-110475,ValOrizon,None, Pôle marchés publics et affaires juridiques,,,17 avenue du 11 novembre,47190,Aiguillon,,05-53-79-91-61,,05-53-79-86-26,omoreau@valorizon.com,http://www.valorizon.com/,,,,,,False,False,,False,False
15-110477,SYDEC,None,Monsieur le Président,,,55 rue Martin Luther KingCS 70627,40006,Mont de Marsan Cedex,,,,,,,,,,,,False,False,,False,False
15-110478,CCI de CAEN,None,M. Collin Michel,Cellule marchés publics,,Direction des Equipements Portuaires - Bassin d'Hérouville,14200,Hérouville saint clair,,(+33) 2-31-35-63-00,,(+33) 2-31-35-63-06,marchespublics@caen.cci.fr,http://www.caen.cci.fr/,https://www.marches-publics.gouv.fr,https://www.marches-publics.gouv.fr,https://www.marches-publics.gouv.fr,,,False,False,,False,False
15-110479,SyAGE,None,M. Le Président Du syage,,,"17, rue gustave eiffel",91230,Montgeron,,(+33) 1-69-83-72-00,,,service.marches@syage.org,,http://syage-pro.marcoweb.fr,,,,,False,False,,False,False
15-110480,Ville de Marseille,None, M. Le maire,,,Hôtel de ville - quai du port Hôtel de ville - quai du port,13233,Marseille cedex 20,,,,,,http://marseille.fr,http://marchespublics.mairie-marseille.fr,,,,,False,False,,False,False
15-110481,Ville de Maizières-les-Metz,None,M. le Maire,,,"Grand'Rue, B.P 30240",57282,Maizières-lès-Metz Cedex,,(+33) 3-87-80-44-31,,(+33) 3-87-51-77-16,,http://www.ville-maizieres-les-metz.fr/,http://www.klekoon.com,,,,,False,False,,False,False
15-110482,Ets Public Foncier Local de l'Oise,None, Catherine lecardez courcol,,,28 avenue jean-baptiste godinPae du haut ville,60000,Beauvais,,03-44-10-20-10,,03-44-10-20-00,catherine.lecardez@epflo.fr,http://www.epflo.fr,http://epflo.e-marchespublics.com,,,,,False,False,,False,False
15-110483,Ville de Poitiers,None,Frédéric Moine,,,SERVICE BATIMENTSPLACE DU MARECHAL LECLERCCS 10569,86021,Poitiers cedex,,05-49-52-37-12,,05-49-52-37-21,frederic.moine@mairie-poitiers.fr,http://www.poitiers.fr,http://www.marches-securises.fr,,,,,False,False,,False,False
15-110484,Communauté Agglomération Est Ensemble,None,"M. COSME Gérard, Président",,,100 avenue Gaston Roussel,93232,Romainville cedex,,01-79-64-53-27,,,marchespublics@est-ensemble.fr,http://www.est-ensemble.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
15-110485,Ville de Montigny le Bretonneux,None,Madame Anne Rivière,,,66 rue de la mare aux carats - bp 85,78180,Montigny le bretonneux,,01-39-30-30-39,,01-39-30-31-33,commande.publique@montigny78.fr,http://www.montigny78.fr,http://www.achats-franciliens.fr,,,,,False,False,,False,False
15-110486,GrandAngoulême agglomération,None,"M. Président Le, GrandAngoulême agglomération",,,25 boulevard Besson Bey,16023,Angoulême cedex,,05-45-38-69-84,,05-45-38-60-85,marche-public@grandangouleme.fr,http://www.grandangouleme.fr,https://marchespublics.grandangouleme.fr,,,,,False,False,,False,False
15-110487,Ste Périne - Rossini - Chardon Lagache,None,Mme Taravella Martine,,,"11, rue Chardon Lagache",75016,Paris,,(+33) 1-44-96-31-15,,,cellulemarches.gh10@spr.aphp.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
15-110488,mairie de BERTRY,None,M. le maire,,,Rue Gambetta,59980,Bertry,,03-27-75-18-02,,03-27-75-14-11,,,https://www.boamp.fr/demat/consultation/CONS-15-110488,,,,,False,False,,False,False
15-110489,Ville de Mérignac,None,Direction des Finances - Service de la Commande Publique,,,60 avenue du Maréchal de Lattre de Tassigny,33705,Mérignac Cedex,,05-56-18-88-01,,05-56-55-66-63,marches.publics@merignac.com,,http://www.merignac.com,,,,,False,False,,False,False
15-110490,EPSM de la vallée de l'Arve,None, EPSM de la Vallée de l'Arve,,,530 rue de la patience,74800,La Roche Sur Foron,,04-50-97-72-57,,04-50-25-43-99,economat@ch-epsm74.fr,,,,,,,False,False,,False,False
